id,name,url,platform,catalog_type,government_level,country,country_name,owner_name,owner_type,api_endpoint,dataset_count,status
performance.ci.janesville.wi.us,City of JanesVille Open Data Portal,https://performance.ci.janesville.wi.us,socrata,Open data portal,local,US,United States,City of JanesVille,Local government,https://performance.ci.janesville.wi.us/api,73,active
performance.cityofcamas.us,City of Camas Open Data Portal,https://performance.cityofcamas.us,socrata,Open data portal,local,US,United States,City of Camas,Local government,https://performance.cityofcamas.us/api,64,active
performance.cityofdavenportiowa.com,,https://performance.cityofdavenportiowa.com,socrata,Open data portal,,,,,,https://performance.cityofdavenportiowa.com/api,82,active
performance.cityofhenderson.com,,https://performance.cityofhenderson.com,socrata,Open data portal,,,,,,https://performance.cityofhenderson.com/api,66,active
performance.cityofrc.us,,https://performance.cityofrc.us,socrata,Open data portal,,,,,,https://performance.cityofrc.us/api,35,active
performance.commerce.gov,U.S. Department of Commerce Performance Data Pro,https://performance.commerce.gov,socrata,Open data portal,federal,US,United States,U.S. Department of Commerce,Central government,https://performance.commerce.gov/api,397,active
performance.cookcountyil.gov,"Cook County, Illinois Open Data Portal",https://performance.cookcountyil.gov,socrata,Open data portal,local,US,United States,"Cook County, Illinois",Local government,https://performance.cookcountyil.gov/api,12,active
performance.franklintn.gov,Franklin Performance & Financial Reports,https://performance.franklintn.gov,socrata,Open data portal,local,US,United States,City of Franklin,Local government,https://performance.franklintn.gov/api,27,active
performance.fultoncountyga.gov,Rally | Open Data Portal | Fulton Performance,https://performance.fultoncountyga.gov,socrata,Open data portal,local,US,United States,Fulton County Government,Local government,https://performance.fultoncountyga.gov/api,78,active
performance.princegeorgescountymd.gov,CountyStat | Prince George's CountyStat | CountyStat | Prince George's County,https://performance.princegeorgescountymd.gov,socrata,Open data portal,local,US,United States,Prince George's County,Local government,https://performance.princegeorgescountymd.gov/api,263,active
performance.providenceri.gov,Open Data Portal,https://performance.providenceri.gov,socrata,Open data portal,local,US,United States,City of Providence,Local government,https://performance.providenceri.gov/api,26,active
performance.seattle.gov,Seattle Performance Portal,https://performance.seattle.gov,socrata,Open data portal,local,US,United States,City Of Seattle,Local government,https://performance.seattle.gov/api,944,active
performance.smcgov.org,San Mateo Performance Dashboards,https://performance.smcgov.org,socrata,Open data portal,local,US,United States,County of San Mateo,Local government,https://performance.smcgov.org/api,876,active
performance.westsussex.gov.uk,West Sussex Performance Dashboard,https://performance.westsussex.gov.uk,socrata,Open data portal,federal,GB,United Kingdom,West Sussex County Council,Local government,https://performance.westsussex.gov.uk/api,0,active
permitting.prestage.dynamo.works,Permitting Council - Where Projects See Progress,https://permitting.prestage.dynamo.works,socrata,Open data portal,federal,US,United States,Federal Permitting Improvement Steering Council,Central government,https://permitting.prestage.dynamo.works/api,0,active
perrycounty.data.socrata.com,,https://perrycounty.data.socrata.com,socrata,Open data portal,,,,,,https://perrycounty.data.socrata.com/api,1,active
perspectives.dnrec.delaware.gov,DNREC: Environmental Perspectives,https://perspectives.dnrec.delaware.gov,socrata,Open data portal,state,US,United States,Delaware Department of Natural Resources and Environmental Control (DNREC),Regional government,https://perspectives.dnrec.delaware.gov/api,0,active
pickenscountyga.data.socrata.com,,https://pickenscountyga.data.socrata.com,socrata,Open data portal,,,,,,https://pickenscountyga.data.socrata.com/api,0,active
pinellasparkpd.data.socrata.com,,https://pinellasparkpd.data.socrata.com,socrata,Open data portal,,,,,,https://pinellasparkpd.data.socrata.com/api,8,active
pittsburg-ca.data.socrata.com,,https://pittsburg-ca.data.socrata.com,socrata,Open data portal,,,,,,https://pittsburg-ca.data.socrata.com/api,0,active
pivcide.pr,PIVCIDE-PR (Ley 187-2015),https://www.pivcide.pr,socrata,Open data portal,state,US,United States,Government of Puerto Rico,Regional government,https://www.pivcide.pr/api,0,active
platte-county.data.socrata.com,,https://platte-county.data.socrata.com,socrata,Open data portal,,,,,,https://platte-county.data.socrata.com/api,0,active
pleasantonpd.data.socrata.com,,https://pleasantonpd.data.socrata.com,socrata,Open data portal,,,,,,https://pleasantonpd.data.socrata.com/api,5,active
pleasantville-ny.data.socrata.com,,https://pleasantville-ny.data.socrata.com,socrata,Open data portal,,,,,,https://pleasantville-ny.data.socrata.com/api,0,active
plymouth-ma.data.socrata.com,,https://plymouth-ma.data.socrata.com,socrata,Open data portal,,,,,,https://plymouth-ma.data.socrata.com/api,1,active
policedata.coloradosprings.gov,Colorado Springs Police Department Open Data,https://policedata.coloradosprings.gov,socrata,Open data portal,local,US,United States,Colorado Springs Police Department,Local government,https://policedata.coloradosprings.gov/api,11,active
policeview.johnscreekga.gov,Johns Creek Police Department,https://policeview.johnscreekga.gov,socrata,Open data portal,local,US,United States,Johns Creek Police Department,Local government,https://policeview.johnscreekga.gov/api,11,active
polkcountytaxcollector-fl.data.socrata.com,,https://polkcountytaxcollector-fl.data.socrata.com,socrata,Open data portal,,,,,,https://polkcountytaxcollector-fl.data.socrata.com/api,0,active
port-orange.data.socrata.com,,https://port-orange.data.socrata.com,socrata,Open data portal,,,,,,https://port-orange.data.socrata.com/api,0,active
portagecounty-oh.data.socrata.com,,https://portagecounty-oh.data.socrata.com,socrata,Open data portal,,,,,,https://portagecounty-oh.data.socrata.com/api,0,active
portangeleswa.data.socrata.com,,https://portangeleswa.data.socrata.com,socrata,Open data portal,,,,,,https://portangeleswa.data.socrata.com/api,0,active
priv-data.ojp.usdoj.gov,,https://priv-data.ojp.usdoj.gov,socrata,Open data portal,,,,,,https://priv-data.ojp.usdoj.gov/api,17,active
prospertx.data.socrata.com,,https://prospertx.data.socrata.com,socrata,Open data portal,,,,,,https://prospertx.data.socrata.com/api,2,active
ptsd-va.data.socrata.com,,https://ptsd-va.data.socrata.com,socrata,Open data portal,,,,,,https://ptsd-va.data.socrata.com/api,17,active
purcellville.data.socrata.com,,https://purcellville.data.socrata.com,socrata,Open data portal,,,,,,https://purcellville.data.socrata.com/api,0,active
radnortownship.data.socrata.com,,https://radnortownship.data.socrata.com,socrata,Open data portal,,,,,,https://radnortownship.data.socrata.com/api,0,active
ranchocordovaca.data.socrata.com,,https://ranchocordovaca.data.socrata.com,socrata,Open data portal,,,,,,https://ranchocordovaca.data.socrata.com/api,6,active
readingpa.data.socrata.com,,https://readingpa.data.socrata.com,socrata,Open data portal,,,,,,https://readingpa.data.socrata.com/api,1,active
redmond-demo.demo.socrata.com,,https://redmond-demo.demo.socrata.com,socrata,Open data portal,,,,,,https://redmond-demo.demo.socrata.com/api,1,active
results.iowa.gov,Iowa Enterprise Strategic Dashboards,https://results.iowa.gov,socrata,Open data portal,state,US,United States,State of Iowa,Regional government,https://results.iowa.gov/api,0,active
